year,week,team,opponent,cats_won,cats_lost,cats_tied,H_value,H_result,R_value,R_result,HR_value,HR_result,TB_value,TB_result,RBI_value,RBI_result,BB_value,BB_result,SB_value,SB_result,AVG_value,AVG_result,K_value,K_result,QS_value,QS_result,W_value,W_result,L_value,L_result,SV_value,SV_result,HD_value,HD_result,ERA_value,ERA_result,WHIP_value,WHIP_result
2023,7,Lisa dANN,Cream City Cowtippers,4,11,1,44.0,-1,32.0,-1,9.0,0,81.0,-1,30.0,-1,26.0,1,9.0,1,0.23036649,-1,67.0,-1,3.0,-1,3.0,-1,5.0,-1,4.0,1,2.0,1,5.74752475,-1,1.38118812,-1
2023,7,Cream City Cowtippers,Lisa dANN,11,4,1,62.0,1,40.0,1,9.0,0,105.0,1,32.0,1,14.0,-1,5.0,-1,0.26724138,1,93.0,1,7.0,1,8.0,1,4.0,1,2.0,-1,0.0,-1,3.03370787,1,1.06741573,1
2023,7,Soto Baggins,Buck Showalter,6,7,3,59.0,1,35.0,1,14.0,1,110.0,1,38.0,1,21.0,0,2.0,-1,0.26339286,1,89.0,0,4.0,0,3.0,-1,10.0,-1,0.0,-1,0.0,-1,5.49557522,-1,1.51327434,-1
2023,7,Buck Showalter,Soto Baggins,7,6,3,55.0,-1,30.0,-1,6.0,-1,93.0,-1,33.0,-1,21.0,0,4.0,1,0.25581395,-1,89.0,0,4.0,0,6.0,1,5.0,1,1.0,1,2.0,1,4.54455446,1,1.31683168,1
2023,8,Delray Beach Air Biscuits,Daisy + Shay Bel-Airs,6,7,3,52.0,1,25.0,-1,4.0,0,77.0,1,26.0,1,11.0,-1,9.0,1,0.23529412,1,111.0,1,5.0,0,6.0,-1,4.0,-1,5.0,-1,0.0,0,4.07755102,-1,1.34693878,-1
2023,8,Daisy + Shay Bel-Airs,Delray Beach Air Biscuits,7,6,3,43.0,-1,27.0,1,4.0,0,61.0,-1,19.0,-1,16.0,1,6.0,-1,0.20772947,-1,91.0,-1,5.0,0,7.0,1,3.0,1,7.0,1,0.0,0,3.98523985,1,1.28413284,1
2023,8,MOArch Redbirds,Smokin' Bases,1,13,2,43.0,-1,29.0,-1,8.0,0,78.0,-1,22.0,-1,29.0,1,2.0,0,0.22631579,-1,69.0,-1,3.0,-1,5.0,-1,4.0,-1,2.0,-1,1.0,-1,5.02325581,-1,1.29767442,-1
2023,8,Smokin' Bases,MOArch Redbirds,13,1,2,60.0,1,33.0,1,8.0,0,100.0,1,28.0,1,27.0,-1,2.0,0,0.2955665,1,79.0,1,7.0,1,6.0,1,3.0,1,3.0,1,2.0,1,2.38235294,1,1.0210084,1
2023,8,Cream City Cowtippers,The G.O.A.T,14,2,0,63.0,1,31.0,1,9.0,1,106.0,1,34.0,1,23.0,1,9.0,1,0.26808511,1,78.0,-1,7.0,1,8.0,1,3.0,1,3.0,1,0.0,-1,3.80912863,1,1.24481328,1
2023,8,The G.O.A.T,Cream City Cowtippers,2,14,0,60.0,-1,30.0,-1,8.0,-1,103.0,-1,29.0,-1,19.0,-1,6.0,-1,0.25751073,-1,92.0,1,3.0,-1,4.0,-1,5.0,-1,2.0,-1,2.0,1,5.09638554,-1,1.45783133,-1
2023,8,Buck Showalter,Goldschmidt Happens,5,8,3,57.0,-1,24.0,-1,10.0,-1,108.0,-1,38.0,1,22.0,1,2.0,0,0.25110132,-1,57.0,1,6.0,1,3.0,0,8.0,-1,1.0,0,2.0,1,7.07423581,-1,1.61135371,-1
2023,8,Goldschmidt Happens,Buck Showalter,8,5,3,69.0,1,35.0,1,13.0,1,123.0,1,35.0,-1,20.0,-1,2.0,0,0.30530973,1,48.0,-1,4.0,-1,3.0,0,6.0,1,1.0,0,1.0,-1,6.16107383,1,1.4295302,1
2023,8,Soto Baggins,Lisa dANN,9,6,1,47.0,-1,30.0,1,13.0,1,95.0,1,32.0,1,33.0,1,4.0,-1,0.235,1,68.0,-1,4.0,-1,6.0,1,3.0,1,0.0,-1,2.0,0,4.25726141,-1,1.30705394,1
2023,8,Lisa dANN,Soto Baggins,6,9,1,50.0,1,25.0,-1,10.0,-1,89.0,-1,31.0,-1,15.0,-1,8.0,1,0.2173913,-1,77.0,1,5.0,1,4.0,-1,4.0,-1,4.0,1,2.0,0,3.53403141,1,1.38219895,-1
2023,9,MOArch Redbirds,Delray Beach Air Biscuits,8,6,2,50.0,1,26.0,-1,4.0,0,76.0,1,19.0,1,18.0,1,0.0,-1,0.2688172,1,82.0,1,4.0,1,4.0,0,6.0,-1,2.0,-1,2.0,1,3.48803828,-1,1.32057416,-1
2023,9,Delray Beach Air Biscuits,MOArch Redbirds,6,8,2,46.0,-1,27.0,1,4.0,0,72.0,-1,15.0,-1,16.0,-1,7.0,1,0.23232323,-1,61.0,-1,3.0,-1,4.0,0,4.0,1,3.0,1,0.0,-1,3.09836066,1,1.21311475,1
2023,9,Daisy + Shay Bel-Airs,Cream City Cowtippers,5,9,2,52.0,0,30.0,1,6.0,-1,88.0,1,15.0,-1,15.0,-1,3.0,-1,0.26130653,1,92.0,1,7.0,-1,5.0,-1,9.0,-1,3.0,1,0.0,0,3.48387097,-1,1.25806452,-1
2023,9,Cream City Cowtippers,Daisy + Shay Bel-Airs,9,5,2,52.0,0,27.0,-1,9.0,1,85.0,-1,26.0,1,28.0,1,11.0,1,0.24528302,-1,88.0,-1,9.0,1,7.0,1,4.0,1,2.0,-1,0.0,0,2.83613445,1,0.98319328,1
