Name,Team,espn_id,H,AVG,HR,TB,BB,R,RBI,SB
Jackson Merrill,SD,4872691,148.0,0.276,19.0,248.0,36.0,72.0,81.0,9.0
Matt Olson,ATL,32767,162.0,0.265,32.0,299.0,87.0,97.0,105.0,1.0
Brice Turang,MIL,41179,157.0,0.265,15.0,235.0,64.0,92.0,74.0,34.0
Christian Yelich,MIL,31283,148.0,0.265,25.0,249.0,69.0,91.0,95.0,17.0
Pete Crow-Armstrong,CHC,4717833,142.0,0.242,26.0,267.0,31.0,88.0,88.0,35.0
Shea Langeliers,OAK,42598,126.0,0.262,29.0,242.0,37.0,69.0,76.0,7.0
Ozzie Albies,ATL,33783,139.0,0.25,18.0,223.0,47.0,74.0,77.0,13.0
Pete Alonso,BAL,37498,156.0,0.261,34.0,297.0,59.0,85.0,110.0,1.0
Ian Happ,CHC,34945,142.0,0.248,24.0,249.0,86.0,86.0,81.0,7.0
Nick Kurtz,OAK,4966637,145.0,0.264,42.0,310.0,79.0,107.0,106.0,2.0
Trea Turner,PHI,33710,169.0,0.283,18.0,265.0,41.0,93.0,69.0,33.0
Taylor Ward,BAL,34923,136.0,0.237,28.0,253.0,70.0,81.0,90.0,4.0
Will Smith,LAD,38309,108.0,0.27,17.0,182.0,59.0,72.0,69.0,2.0
Vinnie Pasquantino,KC,4109109,162.0,0.269,34.0,301.0,52.0,75.0,111.0,1.0
Seiya Suzuki,CHC,4142424,146.0,0.263,27.0,265.0,66.0,74.0,91.0,6.0
James Wood,WSH,4918256,151.0,0.26,27.0,273.0,84.0,84.0,88.0,17.0
Drake Baldwin,ATL,4810190,129.0,0.274,20.0,212.0,50.0,59.0,88.0,0.0
Josh Naylor,SEA,35066,152.0,0.276,21.0,245.0,48.0,79.0,99.0,20.0
Gleyber Torres,DET,33804,139.0,0.259,17.0,214.0,79.0,78.0,67.0,4.0
Randy Arozarena,SEA,36488,137.0,0.231,23.0,238.0,71.0,98.0,77.0,30.0
Adley Rutschman,BAL,42178,131.0,0.248,15.0,204.0,68.0,66.0,63.0,0.0
Austin Riley,ATL,34982,148.0,0.271,28.0,269.0,48.0,86.0,75.0,1.0
Wyatt Langford,TEX,4719324,130.0,0.252,26.0,238.0,70.0,83.0,74.0,22.0
Salvador Perez,KC,31127,143.0,0.258,30.0,263.0,28.0,54.0,94.0,0.0
Freddie Freeman,LAD,30193,154.0,0.283,23.0,266.0,62.0,84.0,87.0,6.0
Corey Seager,TEX,32691,134.0,0.287,31.0,253.0,61.0,80.0,76.0,2.0
Brandon Nimmo,TEX,32159,145.0,0.252,25.0,251.0,62.0,87.0,90.0,13.0
Yainer Diaz,HOU,4781491,154.0,0.278,21.0,246.0,21.0,63.0,77.0,1.0
Alec Burleson,STL,4345070,147.0,0.279,20.0,236.0,39.0,62.0,75.0,7.0
Eugenio Suarez,CIN,32367,140.0,0.239,39.0,282.0,49.0,92.0,119.0,3.0
Luke Keaschall,MIN,4977664,133.0,0.265,13.0,203.0,63.0,65.0,61.0,24.0
Rafael Devers,SF,33859,147.0,0.254,33.0,275.0,81.0,96.0,99.0,1.0
Riley Greene,DET,42179,150.0,0.255,30.0,276.0,52.0,81.0,93.0,3.0
