,Name,Team,z_total,z_H,z_R,z_HR,z_TB,z_RBI,z_BB,z_SB,z_AVG,H,R,HR,TB,RBI,BB,SB,AVG,Type,Pos,z_K,z_QS,z_W,z_L,z_SV,z_HD,z_ERA,z_WHIP,K,QS,W,L,SV,HD,ERA,WHIP,espn_rank,espn_rank_roto,espn_auction
10,Bobby Witt Jr.,KCR,0.603,1.934,1.076,-0.223,1.511,0.462,-0.298,2.159,1.535,184.0,99.0,23.0,312.0,88.0,49.0,38.0,0.295,BAT,BAT,,,,,,,,,,,,,,,,,5,3.0,68.0
11,Eugenio Suarez,- - -,0.602,-0.274,0.62,2.577,1.441,2.234,-0.431,-0.855,-1.339,134.0,91.0,49.0,309.0,118.0,46.0,4.0,0.228,BAT,BAT,,,,,,,,,,,,,,,,,109,108.0,5.0
12,Rafael Devers,- - -,0.578,0.565,1.076,1.07,1.022,1.702,2.498,-1.121,-0.31,153.0,99.0,35.0,291.0,109.0,112.0,1.0,0.252,BAT,BAT,,,,,,,,,,,,,,,,,111,34.0,5.0
13,Garrett Crochet,BOS,0.535,,,,,,,,,,,,,,,,,PIT,PIT,2.553,0.816,2.438,0.776,-0.547,-0.356,1.032,0.898,255.0,16.6,18.0,5.0,0.0,0.0,2.59,1.03,8,12.0,48.0
14,Geraldo Perdomo,ARI,0.514,1.448,1.019,-0.546,0.672,1.171,1.699,1.184,1.32,173.0,98.0,20.0,276.0,100.0,94.0,27.0,0.29,BAT,BAT,,,,,,,,,,,,,,,,,61,63.0,14.0
15,Corbin Carroll,ARI,0.511,0.256,1.531,0.639,1.348,0.226,0.501,1.627,-0.009,146.0,107.0,31.0,305.0,84.0,67.0,32.0,0.259,BAT,BAT,,,,,,,,,,,,,,,,,17,6.0,36.0
16,Matt Olson,ATL,0.509,1.316,1.019,0.424,1.278,0.876,1.566,-1.121,0.548,170.0,98.0,29.0,302.0,95.0,91.0,1.0,0.272,BAT,BAT,,,,,,,,,,,,,,,,,65,31.0,13.0
17,George Springer,TOR,0.496,0.609,1.474,0.747,0.742,0.226,0.59,0.386,2.135,154.0,106.0,32.0,279.0,84.0,69.0,18.0,0.309,BAT,BAT,,,,,,,,,,,,,,,,,59,91.0,15.0
18,Tarik Skubal,DET,0.479,,,,,,,,,,,,,,,,,PIT,PIT,2.257,0.743,1.122,0.486,-0.547,-0.356,1.417,1.729,241.0,16.1,13.0,6.0,0.0,0.0,2.21,0.89,6,10.0,67.0
19,Riley Greene,DET,0.448,0.653,0.222,1.177,1.138,1.821,-0.431,-1.032,-0.052,155.0,84.0,36.0,296.0,111.0,46.0,2.0,0.258,BAT,BAT,,,,,,,,,,,,,,,,,113,78.0,5.0
20,Elly De La Cruz,CIN,0.416,1.139,1.247,-0.33,0.696,0.344,0.501,2.071,0.205,166.0,102.0,22.0,277.0,86.0,67.0,37.0,0.264,BAT,BAT,,,,,,,,,,,,,,,,,52,8.0,18.0
21,Max Fried,NYY,0.414,,,,,,,,,,,,,,,,,PIT,PIT,1.156,0.816,2.701,0.776,-0.547,-0.356,0.759,0.482,189.0,16.6,19.0,5.0,0.0,0.0,2.86,1.1,28,46.0,30.0
